Web Type,Web Name,URL (Itera-Web-Q),Omission (Itera-Web-Q),Hallucination (Itera-Web-Q),Remark,URL (Lovable),Omission (Lovable),Hallucination (Lovable)
Blog,Brainy Doodle (waitbutwhy),https://web-ai-quality-itrwq-brainy-doodle-137d1b.pages.dev,"Topic page: Topic-specific Article List (Thumbnail + Title) shows only Title and Description. (Missing component) 
content page: missing Reading Progress Bar (Tangerine). (Missing component) ",None,home page: Hand-drawn Logo — rendered as text logo (Technical Limitation),https://brainy-doodle-blog.lovable.app/,topic page: Topic-specific Article List (Thumbnail + Title) shows only Title and Description. (Missing component),None
Blog,Matcha Heritage (mizubatea),https://web-ai-quality-itrwq-matcha-heritage-ab87b7.pages.dev/,"history-of-matcha page: has timeline but images do not alternate. (Missing component) 
origin-regions-japan page: section exists but map does not load. Pages requiring 2D charts are not implemented. ",None,-,https://matcha-whispers.lovable.app/,origin-regions-japan page: section exists but map does not load. (Missing component),None
Blog,Yum Yum Yummy (Pinch of Yum ),https://web-ai-quality-itrwq-yum-yum-yummy-8b8999.pages.dev/,list-of-food page: Recipe Card Grid (a clean 3-column grid of photos with titles in serif font): only 2 cards appear. (Missing component),None,-,https://yum-recipe-journey.lovable.app/,None,None
Corporate/Company,A company (coca-cola),https://web-ai-quality-itrwq-a-company-583f2e.pages.dev/,None,None,-,https://vision-spotlight-72.lovable.app/,None,None
Corporate/Company,Arbor Coffee & Co. (starbucks),https://web-ai-quality-itrwq-arbor-coffee-co-5ed94b.pages.dev/,home page: Alternating Value Blocks — blocks do not alternate (Missing component) ,None,-,https://arbor-green-greens.lovable.app/,None,None
Corporate/Company,ATech Solutions (Adobe),https://web-ai-quality-itrwq-atech-solutions-4782b9.pages.dev/,None,None,-,https://atech-canvas.lovable.app/,our-company page: Executive Preview section (4-column grid of grayscale portraits that turn to color on hover) — only one image is shown and grayscale effect is not applied. (Missing component) ,None
Corporate/Company,VitalityGlobal (unilever),https://web-ai-quality-itrwq-vitalityglobal-d2825b.pages.dev/,about-us page: Global Presence stats (Icons) section is missing icons. (Missing component),None,-,https://ethical-growth-center.lovable.app/,None,None
E-Commerce,Aura Kitchenware (beautiful),https://web-ai-quality-itrwq-aura-kitchenware-9d8ce2.pages.dev/,"home page: Hero Image Slider shows images but does not slide (Missing component); missing Featured Recipes Preview, Instagram Social Feed. (Missing section)
all-products page: missing Seasonal Collection Banner, Pagination. (Missing section)
how-to-use page: missing Product Demonstration Blocks, Frequently Asked Usage Questions. (Missing section)
recipes page: missing Recipe Category Filter (Quick Meals, Healthy, Desserts), Serving Size Toggle, Related Kitchenware Recommendations. (Missing section)
our-story page: missing Heritage Timeline, Material & Quality Commitment, Founder's Personal Gallery.ent, Founder’s Personal Gallery. (Missing section)",None,-,https://aura-kitchen-style.lovable.app/,"all-products page: missing Seasonal Collection Banner, Pagination. (Missing section) 
our-story page: missing Founder's Personal Gallery. (Missing section)",None
E-Commerce,ElementModular (Framework Laptop),https://web-ai-quality-itrwq-elementmodular-a8b952.pages.dev/,Product-Overview page: missing Port Showcase section. (Missing section),None,-,https://element-explore-hub.lovable.app/,None,On iteration round 2 → layout has margins causing the width to not be full-bleed.
E-Commerce,Mix & Bind (mishmash),https://web-ai-quality-itrwq-mix-bind-e4218c.pages.dev/,books page: missing color in filter. (Missing component) ,None,-,https://mix-and-bind-kit.lovable.app/,None,None
