Web Name,Pre-Refinement,Post-Refinement
UrbanConnect,22,18
SiamState Portal,12,4
CivicHub,22,21
LearnNova,50,39
Apex Science Library,23,20
Junior Learning,15,12
ElementModular,98,89
Mix & Bind,25,27
Aura Kitchenware,25,21
Brainy Doodle,18,13
Yum Yum Yummy,17,15
Matcha Heritage,17,14
Legacy Media,31,30
AuraNews,39,48
NeonLogic,15,9
SiamCurrent,41,37
ATech Solutions,21,20
Arbor Coffee & Co.,15,17
VitalityGlobal,45,37
A company,15,15
SyncCenter,21,24
DevPortal,20,17
EliteAccess,35,30
Forger Case File,69,66
Thai Gallery Guide,16,13
CineWave,15,11
Ms Music,34,33
Alice,39,32
Alice Life,2,2
Anya Dev,22,30
